location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
712|CLEMENTI WEST ST 2,712,CLEMENTI WEST ST 2,exact_building,712 CLEMENTI WEST STREET 2 SINGAPORE 120712,CLEMENTI,1092.9821665731642,True,1092.9821665731642
377|CLEMENTI AVE 5,377,CLEMENTI AVE 5,exact_building,377 CLEMENTI AVENUE 5 SINGAPORE 120377,CLEMENTI,387.85250429654326,True,387.85250429654326
605|CLEMENTI WEST ST 1,605,CLEMENTI WEST ST 1,exact_building,605 CLEMENTI WEST STREET 1 SINGAPORE 120605,CLEMENTI,1004.3159442714434,True,1004.3159442714434
356|CLEMENTI AVE 2,356,CLEMENTI AVE 2,exact_building,356 CLEMENTI AVENUE 2 SINGAPORE 120356,CLEMENTI,454.2880288234469,True,454.2880288234469
111|ALJUNIED CRES,111,ALJUNIED CRES,exact_building,111 ALJUNIED CRESCENT SINGAPORE 380111,ALJUNIED,477.33945759358386,True,477.33945759358386
338|UBI AVE 1,338,UBI AVE 1,exact_building,338 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400338,UBI,489.1104822865845,True,489.1104822865845
345|UBI AVE 1,345,UBI AVE 1,exact_building,345 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400345,UBI,438.3772120509567,True,438.3772120509567
344|UBI AVE 1,344,UBI AVE 1,exact_building,344 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400344,UBI,399.5873134809139,True,399.5873134809139
339|UBI AVE 1,339,UBI AVE 1,exact_building,339 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400339,UBI,454.6420084407471,True,454.6420084407471
341|UBI AVE 1,341,UBI AVE 1,exact_building,341 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400341,UBI,405.83309446428694,True,405.83309446428694
126|ALJUNIED RD,126,ALJUNIED RD,exact_building,126 ALJUNIED ROAD SINGAPORE 380126,MATTAR,363.70019772887247,True,363.70019772887247
842|SIMS AVE,842,SIMS AVE,exact_building,842 SIMS AVENUE SINGAPORE 400842,EUNOS,209.09369480924423,True,209.09369480924423
332|UBI AVE 1,332,UBI AVE 1,exact_building,332 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400332,UBI,455.26205405718304,True,455.26205405718304
53|PIPIT RD,53,PIPIT RD,exact_building,53 PIPIT ROAD SINGAPORE 370053,MACPHERSON,234.07606813006308,True,234.07606813006308
620|HOUGANG AVE 8,620,HOUGANG AVE 8,exact_building,620 HOUGANG AVENUE 8 SINGAPORE 530620,HOUGANG,917.3754144431016,True,917.3754144431016
661|HOUGANG AVE 4,661,HOUGANG AVE 4,exact_building,661 HOUGANG AVENUE 4 SINGAPORE 530661,HOUGANG,1040.773042169039,True,1040.773042169039
608|HOUGANG AVE 4,608,HOUGANG AVE 4,exact_building,608 HOUGANG AVENUE 4 SINGAPORE 530608,HOUGANG,741.5310486383379,True,741.5310486383379
606|HOUGANG AVE 4,606,HOUGANG AVE 4,exact_building,606 HOUGANG AVENUE 4 SINGAPORE 530606,HOUGANG,690.2447804812097,True,690.2447804812097
413|HOUGANG AVE 10,413,HOUGANG AVE 10,exact_building,413 HOUGANG AVENUE 10 HARMONY VIEW @ HOUGANG SINGAPORE 530413,HOUGANG,416.34575810970534,True,416.34575810970534
605|HOUGANG AVE 4,605,HOUGANG AVE 4,exact_building,605 HOUGANG AVENUE 4 SINGAPORE 530605,HOUGANG,622.8159138901216,True,622.8159138901216
601|HOUGANG AVE 4,601,HOUGANG AVE 4,exact_building,601 HOUGANG AVENUE 4 SINGAPORE 530601,HOUGANG,561.9165496010281,True,561.9165496010281
